package name,DEFINES_PERMISS,SHARED_LIB,ACCESSIBLE CONTENT URI,READ_CONTACTS,WRITE_CONTACTS,ACCESS_FINE_LOCATION,READ_EXTERNAL_STORAGE,WRITE_EXTERNAL_STORAGE,READ_CALL_LOG,READ_PHONE_STATE,USE_SIP,READ_SMS,ACCESS_COARSE_LOCATION,cycles-GHz,branch-misses-percent,branches,cache-references,ref-cycles,vulnerable
org.videolan.vlc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191395,11646,1717818,0
org.owasp.goatdroid.fourgoats,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,47395,14588,2321192,1
jakhar.aseem.diva,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,93834,18364,2001858,1
d347e095369aba294f674331054df8469b12d5e3260deb168827142d862f88d6,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,86291,19866,2137934,1
com.tmobile.xcalc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133521,14925,2237933,0
com.tmobile.MobileInternetManagement.devices,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,299029,18364,2305208,0
com.thunderbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171234,13142,1785454,0
com.threebanana.notes,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,146691,13453,2321192,0
com.text.editor,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254608,13921,2046050,0
com.svox.pico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184041,14219,2269099,0
com.ss.android.ugc.boomlite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135878,13152,2119754,0
com.spotify.music,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,198348,19218,1925909,0
com.poxy.policytool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127285,13551,2042454,0
com.power.statistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116867,8023,1416731,0
com.note.privatepassword,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,35031,3601,877674,0
com.noisefield.yelp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,250103,15481,1704493,0
com.mwr.example.sieve,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,241903,17894,2269099,1
com.mob.xclock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101251,10958,2319837,0
com.mob.pdfinfo,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,236547,11299,2345616,0
com.hutchison3g.threeintouch,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,167658,17367,2282918,0
com.hugmail.android,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,165361,11337,1989286,0
com.htbridge.pivaa,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,201979,14219,1984391,1
com.foobnix.pdf.reader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241903,13870,1699014,0
com.discord,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,146691,14266,2151632,0
com.csipsimple,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,191395,17367,2151632,1
com.character.map,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,264061,14266,2001858,0
com.casinox.proversion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,317460,14588,2151632,0
com.android.printspooler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47395,6970,1301211,0
